Set test time: 1900 s
=========Thermal Cap[pxa1936ff]==========
time temp CPU0 CPU4 GC2D GC3D DDR
1108 50000 416000 624000 78000 312000 312000
1109 50000 624000 832000 78000 312000 528000
1110 50000 416000 624000 78000 312000 312000
1111 50000 416000 624000 78000 312000 528000
1112 50000 416000 624000 78000 156000 312000
1113 49000 416000 624000 78000 312000 312000
1114 49000 416000 624000 78000 156000 416000
1115 50000 416000 624000 78000 156000 416000
1116 49000 416000 624000 78000 156000 312000
1117 49000 416000 624000 78000 156000 416000
1118 49000 416000 624000 78000 156000 312000
1119 49000 624000 832000 78000 156000 416000
1120 50000 416000 624000 78000 624000 312000
1122 50000 416000 624000 78000 156000 312000
1123 50000 416000 624000 78000 312000 312000
1124 50000 416000 624000 78000 312000 312000
1125 50000 624000 832000 78000 156000 416000
1126 50000 416000 624000 78000 624000 312000
1127 50000 624000 832000 78000 312000 416000
1128 50000 416000 624000 78000 156000 312000
1129 50000 416000 624000 78000 312000 312000
1130 50000 416000 624000 78000 156000 312000
1131 49000 624000 832000 78000 156000 528000
1132 49000 416000 624000 78000 312000 416000
1133 50000 416000 624000 78000 156000 312000
1134 49000 416000 624000 78000 156000 312000
1135 50000 416000 624000 78000 156000 312000
1136 50000 416000 624000 78000 312000 416000
1137 50000 416000 624000 78000 312000 312000
1138 50000 624000 832000 78000 156000 416000
1139 50000 416000 624000 78000 312000 312000
1140 50000 416000 624000 78000 156000 312000
1142 50000 624000 832000 78000 312000 528000
1143 50000 416000 624000 78000 156000 312000
1144 50000 624000 832000 78000 312000 416000
1145 50000 416000 624000 78000 156000 312000
1146 50000 416000 624000 78000 312000 312000
1147 50000 416000 624000 78000 312000 312000
1148 50000 416000 624000 78000 156000 312000
1149 50000 416000 624000 78000 624000 312000
1150 50000 416000 624000 78000 312000 312000
1151 50000 416000 624000 78000 312000 312000
1152 50000 416000 624000 78000 156000 312000
1153 50000 416000 624000 78000 156000 312000
1154 50000 624000 832000 78000 312000 312000
1155 50000 416000 624000 78000 312000 312000
1156 50000 624000 832000 78000 312000 416000
1157 49000 416000 624000 78000 156000 312000
1158 50000 416000 624000 78000 312000 312000
1159 49000 416000 832000 78000 312000 416000
1160 50000 624000 832000 78000 312000 416000
1161 50000 416000 624000 78000 312000 416000
1163 50000 416000 624000 78000 156000 312000
1164 50000 416000 624000 78000 156000 416000
1165 49000 416000 624000 78000 156000 312000
1166 49000 416000 832000 78000 312000 528000
1167 50000 416000 624000 78000 312000 312000
1168 50000 416000 624000 78000 156000 312000
1169 49000 416000 624000 78000 156000 312000
1170 49000 416000 624000 78000 156000 416000
1171 50000 416000 624000 78000 312000 312000
1172 50000 416000 624000 78000 624000 312000
1173 51000 416000 624000 78000 312000 312000
1174 50000 624000 832000 78000 312000 528000
1175 50000 416000 624000 78000 156000 312000
1176 50000 624000 832000 78000 312000 528000
1177 49000 416000 624000 78000 156000 312000
1178 50000 416000 624000 78000 156000 312000
1179 50000 624000 832000 78000 624000 416000
1180 51000 416000 624000 78000 624000 312000
1181 51000 416000 624000 78000 312000 312000
1183 50000 416000 624000 78000 312000 312000
1184 51000 416000 832000 78000 312000 416000
1185 50000 624000 832000 78000 156000 528000
1186 50000 416000 624000 78000 156000 312000
1187 50000 416000 624000 78000 156000 312000
1188 50000 416000 624000 78000 156000 312000
1189 50000 416000 624000 78000 312000 312000
1190 51000 416000 832000 78000 832000 416000
1191 50000 416000 624000 78000 312000 312000
1192 51000 416000 832000 78000 156000 416000
1193 50000 416000 624000 78000 156000 416000
1194 50000 624000 832000 78000 156000 528000
1195 50000 416000 624000 78000 312000 312000
1196 50000 416000 624000 78000 156000 312000
1197 50000 624000 832000 78000 156000 416000
1198 50000 416000 624000 78000 156000 416000
1199 50000 624000 832000 78000 156000 416000
1200 50000 416000 624000 78000 156000 416000
1201 50000 416000 624000 78000 156000 416000
1203 50000 416000 624000 78000 312000 312000
1204 51000 416000 624000 78000 624000 312000
1205 50000 416000 624000 78000 156000 312000
1206 50000 416000 624000 78000 156000 312000
1207 50000 416000 624000 78000 312000 312000
1208 50000 416000 624000 78000 156000 312000
1209 50000 416000 624000 78000 156000 312000
1210 50000 416000 624000 78000 156000 312000
1211 50000 416000 624000 78000 156000 312000
1212 49000 624000 832000 78000 156000 528000
1213 50000 416000 624000 78000 156000 416000
1214 49000 624000 832000 78000 156000 312000
1215 49000 416000 624000 78000 156000 312000
1216 50000 416000 624000 78000 312000 416000
1217 50000 624000 832000 78000 312000 528000
1218 50000 624000 832000 78000 312000 528000
1219 50000 416000 624000 78000 156000 312000
1220 50000 416000 624000 78000 312000 416000
1221 50000 624000 832000 78000 312000 416000
1222 50000 624000 832000 78000 156000 528000
1223 50000 416000 624000 78000 312000 416000
1225 50000 624000 832000 78000 312000 528000
1226 50000 416000 624000 78000 156000 312000
1227 50000 416000 624000 78000 312000 416000
1228 50000 416000 624000 78000 156000 312000
1229 50000 624000 832000 78000 156000 416000
1230 49000 624000 832000 78000 156000 528000
1231 50000 416000 624000 78000 156000 312000
1232 49000 416000 624000 78000 156000 312000
1233 49000 416000 624000 78000 156000 416000
1234 50000 416000 624000 78000 156000 312000
1235 50000 416000 624000 78000 624000 312000
1236 50000 416000 624000 78000 312000 312000
1237 51000 416000 416000 78000 312000 312000
1238 50000 416000 624000 78000 156000 312000
1239 50000 416000 624000 78000 156000 312000
1240 50000 416000 624000 78000 156000 312000
1241 50000 416000 624000 78000 156000 312000
1242 50000 416000 416000 78000 156000 416000
1243 50000 416000 624000 78000 156000 312000
1245 50000 416000 832000 78000 156000 416000
1246 50000 416000 624000 78000 156000 312000
1247 50000 416000 624000 78000 624000 312000
1248 52000 416000 624000 78000 624000 416000
1249 51000 624000 832000 78000 156000 312000
1250 50000 416000 624000 78000 156000 312000
1251 50000 416000 624000 78000 312000 312000
1252 51000 416000 624000 78000 156000 312000
1253 50000 624000 832000 78000 312000 416000
1254 50000 416000 624000 78000 156000 312000
1255 50000 624000 832000 78000 156000 416000
1256 50000 416000 624000 78000 156000 416000
1257 50000 624000 832000 78000 156000 416000
1258 50000 416000 624000 78000 156000 312000
1259 50000 416000 832000 78000 312000 312000
1260 50000 416000 624000 78000 312000 312000
1261 51000 416000 832000 78000 312000 528000
1262 50000 624000 832000 78000 312000 312000
1263 51000 416000 624000 78000 624000 416000
1264 50000 416000 624000 78000 156000 312000
1266 50000 416000 624000 78000 312000 416000
1267 51000 416000 416000 78000 156000 416000
1268 51000 416000 624000 78000 156000 312000
1269 50000 416000 624000 78000 312000 312000
1270 51000 416000 624000 78000 312000 312000
1271 50000 416000 624000 78000 156000 312000
1272 50000 624000 832000 78000 156000 312000
1273 50000 416000 624000 78000 156000 416000
1274 50000 624000 832000 78000 312000 312000
1275 50000 624000 832000 78000 156000 416000
1276 50000 416000 624000 78000 156000 416000
1277 50000 416000 624000 78000 312000 416000
1278 50000 416000 624000 78000 156000 312000
1279 50000 416000 624000 78000 156000 312000
1280 50000 416000 624000 78000 156000 312000
1281 51000 624000 832000 78000 156000 416000
1282 50000 416000 624000 78000 156000 312000
1283 50000 416000 624000 78000 156000 312000
1284 50000 416000 624000 78000 156000 312000
1286 50000 416000 832000 78000 156000 416000
1287 50000 416000 624000 78000 156000 416000
1288 50000 416000 624000 78000 312000 416000
1289 50000 416000 624000 78000 156000 312000
1290 50000 416000 624000 78000 312000 416000
1291 50000 416000 624000 78000 156000 416000
1292 50000 416000 832000 78000 156000 528000
1293 50000 416000 624000 78000 156000 416000
1294 50000 624000 832000 78000 156000 528000
1295 50000 832000 1526000 78000 624000 528000
1296 50000 624000 1057000 78000 156000 416000
1297 53000 624000 832000 78000 624000 416000
1298 52000 624000 832000 78000 624000 416000
1299 52000 416000 624000 78000 312000 312000
1300 52000 416000 624000 78000 624000 528000
1301 52000 416000 624000 78000 624000 312000
1302 52000 416000 624000 78000 832000 416000
1303 52000 416000 624000 78000 624000 312000
1304 51000 416000 624000 78000 312000 416000
1305 51000 416000 624000 78000 156000 312000
1307 51000 416000 624000 78000 312000 312000
1308 51000 416000 624000 78000 312000 416000
1309 52000 416000 624000 78000 312000 312000
1310 52000 624000 832000 78000 156000 416000
1311 51000 416000 624000 78000 156000 312000
1312 51000 416000 624000 78000 832000 416000
1313 52000 416000 624000 78000 832000 416000
1314 53000 416000 624000 78000 832000 416000
1315 52000 416000 832000 78000 832000 528000
1316 52000 624000 1057000 78000 832000 312000
1317 53000 416000 624000 78000 312000 312000
1318 52000 416000 832000 78000 624000 416000
1319 52000 416000 832000 78000 156000 312000
1320 52000 416000 624000 78000 624000 416000
1321 52000 624000 832000 78000 312000 416000
1322 51000 416000 624000 78000 156000 312000
1323 51000 624000 832000 78000 312000 312000
1324 50000 624000 832000 78000 156000 416000
1325 51000 416000 624000 78000 156000 312000
1326 51000 624000 832000 78000 312000 312000
1328 52000 416000 624000 78000 624000 312000
1329 52000 416000 624000 78000 624000 416000
1330 50000 416000 624000 78000 156000 312000
1331 51000 416000 832000 78000 156000 528000
1332 50000 624000 832000 78000 312000 528000
1333 50000 416000 832000 78000 312000 528000
1334 50000 416000 832000 78000 312000 528000
1335 51000 416000 624000 78000 624000 416000
1336 51000 416000 624000 78000 312000 312000
1337 51000 416000 624000 78000 156000 312000
1338 50000 624000 832000 78000 156000 416000
1339 50000 416000 624000 78000 156000 416000
1340 50000 416000 624000 78000 156000 312000
1341 51000 416000 624000 78000 156000 312000
1342 50000 416000 624000 78000 312000 312000
1343 51000 416000 624000 78000 156000 312000
1344 50000 416000 624000 78000 312000 312000
1345 50000 416000 832000 78000 312000 312000
1346 50000 624000 832000 78000 312000 416000
1347 50000 416000 624000 78000 312000 312000
1349 51000 624000 832000 78000 156000 416000
1350 51000 416000 624000 78000 312000 312000
1351 50000 416000 624000 78000 312000 416000
1352 51000 416000 624000 78000 312000 312000
1353 50000 416000 624000 78000 156000 416000
1354 50000 416000 624000 78000 156000 312000
1355 50000 624000 832000 78000 312000 528000
1356 50000 416000 624000 78000 156000 312000
1357 50000 416000 832000 78000 312000 416000
1358 50000 624000 832000 78000 312000 416000
1359 50000 416000 624000 78000 312000 312000
1360 50000 624000 832000 78000 156000 312000
1361 50000 416000 624000 78000 156000 312000
1362 50000 416000 624000 78000 156000 416000
1363 50000 416000 624000 78000 312000 312000
1364 50000 416000 624000 78000 312000 312000
1365 52000 416000 624000 78000 624000 312000
1366 51000 416000 624000 78000 312000 312000
1367 52000 416000 624000 78000 624000 312000
1369 54000 624000 832000 78000 832000 416000
1370 52000 416000 624000 78000 312000 312000
1371 53000 416000 624000 78000 624000 416000
1372 54000 416000 832000 78000 624000 416000
1373 54000 416000 624000 78000 624000 416000
1374 53000 624000 832000 78000 312000 416000
1375 52000 416000 624000 78000 312000 312000
1376 51000 416000 624000 78000 156000 312000
1377 51000 624000 832000 78000 156000 528000
1378 52000 416000 624000 78000 156000 416000
1379 50000 416000 832000 78000 156000 416000
1380 51000 416000 624000 78000 156000 312000
1381 50000 416000 624000 78000 156000 416000
1382 50000 416000 624000 78000 156000 312000
1383 50000 416000 624000 78000 156000 312000
1384 50000 416000 624000 78000 156000 312000
1385 51000 416000 624000 78000 312000 312000
1386 51000 416000 624000 78000 312000 312000
1387 51000 624000 832000 78000 156000 416000
1389 52000 416000 624000 78000 624000 312000
1390 52000 416000 624000 78000 312000 416000
1391 51000 624000 1057000 78000 312000 528000
1392 52000 416000 624000 78000 832000 416000
1393 52000 416000 624000 78000 156000 312000
1394 52000 416000 624000 78000 312000 312000
1395 53000 416000 624000 78000 624000 416000
1396 53000 624000 832000 78000 832000 528000
1397 53000 416000 624000 78000 624000 416000
1398 53000 624000 832000 78000 624000 416000
1399 52000 624000 832000 78000 312000 528000
1400 52000 416000 624000 78000 156000 312000
1401 51000 624000 832000 78000 156000 312000
1402 51000 416000 624000 78000 156000 312000
1403 51000 416000 832000 78000 312000 416000
1404 53000 416000 624000 78000 624000 416000
1405 52000 624000 832000 78000 312000 528000
1406 51000 416000 832000 78000 312000 416000
1407 51000 416000 624000 78000 312000 416000
1408 51000 624000 832000 78000 312000 528000
1410 51000 416000 624000 78000 156000 312000
1411 50000 416000 624000 78000 156000 416000
1412 50000 416000 624000 78000 156000 312000
